Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
161,Vlatko Cancar,DEN,24,5,1,4,21,11,3,3,100,1,1,100,4,5,80,0,3,3,1,1,1,1,0,21.1,0,0,10
163,Enes Kanter,POR,29,5,2,3,56,10,4,8,50,0,0,0,2,2,100,6,7,13,0,3,0,2,9,28.6,0,0,-34
163,Frank Kaminsky,PHX,28,6,5,1,38,10,4,13,30.8,1,5,20,1,1,100,0,8,8,11,3,1,3,8,45.1,0,0,1
163,Rondae Hollis-Jefferson,POR,26,5,1,4,36,10,4,5,80,0,0,0,2,3,66.7,3,5,8,0,0,1,1,5,25.6,0,0,-20
163,Serge Ibaka,LAC,31,2,0,2,18,10,3,6,50,0,2,0,4,4,100,1,3,4,2,1,1,3,1,28.8,0,0,17
167,Markieff Morris,LAL,31,4,1,3,38,9,2,9,22.2,1,4,25,4,6,66.7,4,0,4,3,2,0,1,6,19.3,0,0,-21
167,Shaquille Harrison,DEN,27,9,4,5,40,9,3,4,75,1,1,100,2,3,66.7,0,8,8,3,5,3,3,3,36.1,0,0,0
169,Alize Johnson,BKN,25,5,3,2,23,8,4,7,57.1,0,0,0,0,0,0,3,10,13,0,3,3,0,1,29.6,0,0,12
169,Donte DiVincenzo,MIL,24,3,3,0,70,8,3,16,18.8,2,12,16.7,0,0,0,2,17,19,8,6,3,1,4,48.8,0,0,12
169,JaVale McGee,DEN,33,4,1,3,34,8,3,10,30,0,2,0,2,6,33.3,3,9,12,3,1,1,5,4,43.9,0,0,10
169,Jordan Nwora,MIL,22,3,3,0,25,8,3,15,20,1,5,20,1,2,50,5,3,8,1,1,0,1,1,21.1,0,0,-2
169,Timothe Luwawu-Cabarrot,BKN,26,7,5,2,25,8,3,10,30,2,6,33.3,0,0,0,0,3,3,2,1,0,0,1,13.6,0,0,12
174,Mamadi Diakite,MIL,24,6,5,1,31,7,2,7,28.6,1,1,100,2,2,100,1,6,7,0,1,2,1,6,23.4,0,0,-4
174,Precious Achiuwa,MIA,21,3,0,3,12,7,3,4,75,0,0,0,1,4,25,0,6,6,0,4,0,2,1,16.2,0,0,0
174,Thanasis Antetokounmpo,MIL,28,9,6,3,35,7,1,4,25,0,0,0,5,6,83.3,2,4,6,2,2,2,2,8,27.2,0,0,-12
177,Ben McLemore,LAL,28,4,1,3,36,6,2,9,22.2,2,6,33.3,0,0,0,1,6,7,1,1,1,0,5,17.9,0,0,-10
177,Bruno Fernando,ATL,22,3,0,3,9,6,2,2,100,0,0,0,2,2,100,1,0,1,0,0,0,0,0,7.2,0,0,7
177,Chandler Hutchison,WAS,25,2,0,2,18,6,2,5,40,0,0,0,2,2,100,0,3,3,1,1,0,0,1,10.1,0,0,-15
177,Justin Jackson,MIL,26,5,4,1,15,6,3,5,60,0,2,0,0,0,0,1,1,2,1,1,1,0,0,11.9,0,0,-7
177,Kris Dunn,ATL,27,2,1,1,14,6,1,2,50,0,0,0,4,4,100,0,3,3,2,0,0,1,1,15.6,0,0,0
177,Mike Scott,PHI,32,5,4,1,34,6,2,9,22.2,2,7,28.6,0,0,0,1,2,3,3,0,1,1,3,20.1,0,0,9
177,T.J. Leaf,POR,24,3,1,2,7,6,3,4,75,0,0,0,0,0,0,2,1,3,0,0,0,0,0,9.6,0,0,0
184,Amir Coffey,LAC,24,8,8,0,12,5,2,3,66.7,1,1,100,0,0,0,0,1,1,1,0,0,0,0,7.7,0,0,2
184,Axel Toupane,MIL,28,4,4,0,10,5,2,4,50,1,2,50,0,0,0,2,2,4,0,0,0,0,0,9.8,0,0,-5
184,Carsen Edwards,BOS,23,2,0,2,5,5,2,3,66.7,1,2,50,0,0,0,0,1,1,0,0,0,0,0,6.2,0,0,1
184,Chris Chiozza,BKN,25,6,4,2,19,5,2,7,28.6,1,3,33.3,0,0,0,0,1,1,1,1,1,0,2,9.7,0,0,7
184,Gabe Vincent,MIA,25,3,0,3,14,5,2,3,66.7,1,2,50,0,0,0,0,1,1,2,1,0,0,0,8.2,0,0,-2
184,Nassir Little,POR,21,3,1,2,9,5,1,4,25,1,4,25,2,4,50,0,1,1,0,1,0,1,0,8.2,0,0,-1
184,Sam Merrill,MIL,25,6,5,1,24,5,2,7,28.6,1,5,20,0,0,0,1,1,2,1,1,3,0,2,16.9,0,0,-11
184,Tony Snell,ATL,29,8,4,4,64,5,2,15,13.3,1,10,10,0,0,0,0,5,5,2,3,2,1,5,20,0,0,-37
192,Daniel Oturu,LAC,21,6,6,0,11,4,2,3,66.7,0,0,0,0,0,0,1,2,3,0,0,0,1,2,10.6,0,0,-1
192,Derrick Jones Jr.,POR,24,2,1,1,10,4,2,5,40,0,2,0,0,0,0,0,0,0,0,0,1,0,2,7,0,0,5
192,Ersan Ilyasova,UTA,34,1,0,1,3,4,1,2,50,0,1,0,2,2,100,0,0,0,0,0,0,0,0,4,0,0,-4
192,Garrison Mathews,WAS,24,3,0,3,17,4,0,4,0,0,4,0,4,5,80,0,2,2,0,0,0,0,4,6.4,0,0,-5
192,Jevon Carter,PHX,25,6,5,1,20,4,2,7,28.6,0,2,0,0,2,0,0,2,2,4,0,0,0,0,12.4,0,0,-10
192,Paul Reed,PHI,22,3,3,0,11,4,2,4,50,0,0,0,0,0,0,3,5,8,0,0,0,1,1,16.6,0,0,0
192,Tremont Waters,BOS,23,3,0,3,6,4,1,4,25,0,2,0,2,3,66.7,0,0,0,2,2,1,0,0,8,0,0,1
192,Trent Forrest,UTA,23,4,1,3,10,4,2,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-12
200,Jalen Smith,PHX,21,4,3,1,14,3,1,3,33.3,1,1,100,0,0,0,2,3,5,1,1,0,0,2,9.5,0,0,-3
